rowid,content,label,content_clean,dm1,dm2,troll_whight,real_whight,upper_s,upper_w,swears,swears_s,num_words,positive,positive_s,negative,negative_s
1,'How to Talk to Girls'. I'm going to write a gay centred spinoff  'How to ASL',0,how to talk to girls im going to write a gay centred spinoff  how to asl,0.710271444,-0.458466438,7.355618346,0,0.333333333,0.111111111,1,0.0625,16,0,0,0,0
2,'Turns out not where but who you're with that really matters.' ;) --- MaryZ41: @sleighz yeah  we all hate bein,0,turns out not where but who youre with that really matters   maryz41 sleighz yeah  we all hate bein,0.749529126,-0.482990912,10.71419512,-12.35764699,0.076923077,0,0,0,18,0,0,1,0.055555556
3,'you can do it!' kick ass fdo!,0,you can do it kick ass fdo,1.153887711,-0.634002891,19.14980382,-2.898120891,0,0,1,0.142857143,7,0,0,0,0
4,--- each confit will make the fat saltier (it's already pretty salty)  and when it gets too salty I'm deep frying with it.,0, each confit will make the fat saltier its already pretty salty  and when it gets too salty im deep frying with it,0.689006472,-0.50162421,6.193938224,-1.501283334,0.034482759,0.034482759,0,0,22,1,0.045454545,1,0.045454545
5,--- that shit right there fool ... is FUCKING TIGHT!!!! --- http://tinyurl.com/6fro26,1, that shit right there fool  is fucking tight  httptinyurlcom6fro26,0.703396985,-0.47735265,32.47096042,-2.843804223,0.1,0.1,2,0.222222222,9,1,0.111111111,3,0.333333333
6,--- you may be working from the same book as me; I'm confiting pork bellies (and then a cryovac'd tenderloin)  but in pig fat,0, you may be working from the same book as me im confiting pork bellies and then a cryovacd tenderloin  but in pig fat,0.721570418,-0.567210686,4.197570633,-6.265104039,0.033333333,0.033333333,0,0,23,0,0,2,0.086956522
7,"-- ""Never start a fight; always finish one."" Wait. ""We live for the One  we die for the One."" Damn...hang on...",0, never start a fight always finish one wait we live for the one  we die for the one damnhang on,0.638603713,-0.668815568,19.32069733,-1.831318768,0.206896552,0,0,0,20,0,0,1,0.05
8,-- but hopefully not the ass right?  :),0, but hopefully not the ass right  ,1.173001622,-0.672365683,9.598634819,-7.137571638,0,0,1,0.166666667,6,1,0.166666667,0,0
9,-- damn fool. you're a 247 workhorse!,1, damn fool youre a 247 workhorse,0.529528768,-0.288335238,9.157612481,0,0,0.111111111,1,0.166666667,6,0,0,2,0.333333333
10,-- damn homie ... in highschool you was the man homie. fuck happened to you?,1, damn homie  in highschool you was the man homie fuck happened to you,1.112518694,-0.69971617,17.37377114,-3.82825445,0,0,2,0.153846154,13,0,0,2,0.153846154
